condition,network,accuracy
coupled_homo,0,0.8427083333333332
coupled_homo,1,0.8293333333333333
coupled_homo,2,0.8160416666666667
coupled_homo,3,0.8295833333333333
coupled_homo,4,0.8341666666666666
coupled_homo,5,0.8368749999999999
coupled_homo,6,0.8391666666666666
coupled_homo,7,0.8145833333333333
coupled_homo,8,0.8241666666666666
coupled_homo,9,0.7917083333333335
coupled_homo,10,0.8230000000000001
coupled_homo,11,0.8339166666666668
coupled_homo,12,0.8323333333333335
coupled_homo,13,0.8322916666666667
coupled_homo,14,0.8004583333333333
coupled_homo,15,0.8322083333333333
coupled_homo,16,0.7955416666666667
coupled_homo,17,0.8098333333333334
coupled_homo,18,0.8176666666666667
coupled_homo,19,0.825625
uncoupled_hete,0,0.6059166666666668
uncoupled_hete,1,0.6845833333333334
uncoupled_hete,2,0.623625
uncoupled_hete,3,0.6804166666666667
uncoupled_hete,4,0.7166666666666666
uncoupled_hete,5,0.7005
uncoupled_hete,6,0.8191666666666666
uncoupled_hete,7,0.684875
uncoupled_hete,8,0.6207916666666667
uncoupled_hete,9,0.6517916666666667
uncoupled_hete,10,0.6956249999999999
uncoupled_hete,11,0.7426250000000001
uncoupled_hete,12,0.5798333333333333
uncoupled_hete,13,0.6575833333333333
uncoupled_hete,14,0.6752083333333334
uncoupled_hete,15,0.6585
uncoupled_hete,16,0.729875
uncoupled_hete,17,0.595625
uncoupled_hete,18,0.7307916666666666
uncoupled_hete,19,0.6873750000000001
coupled_hete,0,0.7835
coupled_hete,1,0.8002916666666666
coupled_hete,2,0.7939166666666666
coupled_hete,3,0.8329583333333334
coupled_hete,4,0.8430416666666666
coupled_hete,5,0.8434999999999999
coupled_hete,6,0.8570833333333333
coupled_hete,7,0.7762083333333333
coupled_hete,8,0.8379166666666665
coupled_hete,9,0.8085416666666667
coupled_hete,10,0.7966666666666665
coupled_hete,11,0.8359166666666666
coupled_hete,12,0.7195833333333334
coupled_hete,13,0.8335416666666667
coupled_hete,14,0.7591666666666667
coupled_hete,15,0.7837916666666666
coupled_hete,16,0.8392916666666667
coupled_hete,17,0.7779583333333334
coupled_hete,18,0.8290416666666667
coupled_hete,19,0.8428749999999999
