condition,signal,pc1,pc2,pc3
uncoupled,0,-1.4230717,0.16577016,-1.1125815
uncoupled,0,-0.50777835,0.1159396,-0.39758188
uncoupled,0,0.23631537,0.076307915,-0.27033174
uncoupled,0,-0.23554839,-0.39802337,-0.3877163
uncoupled,0,8.624846,-7.9149795,-0.29345676
uncoupled,0,-2.6532629,0.48797163,-1.8277605
uncoupled,0,2.1780765,0.28789765,-0.7209068
uncoupled,0,-0.50777894,0.115941755,-0.39758086
uncoupled,0,-0.09866507,0.10377511,0.036047906
uncoupled,0,-0.89069265,-0.54385483,-0.9330725
uncoupled,0,-0.5077783,0.11594177,-0.39757752
uncoupled,0,-0.30933627,-0.38376516,-0.24654873
uncoupled,0,0.34929898,1.2390349,-1.1082116
uncoupled,0,-0.5077792,0.11594171,-0.3975781
uncoupled,0,-0.34478953,-0.32334578,0.026487788
uncoupled,0,0.088085346,-1.1559395,0.6237003
uncoupled,0,2.5407126,1.380558,-1.0024754
uncoupled,0,-0.35983554,-0.2895607,-0.27489516
uncoupled,0,-0.52097744,-2.3011394,-6.5604854
uncoupled,0,-0.7184543,0.011994983,-0.8540014
uncoupled,0,2.0161204,-10.962634,-1.4874196
uncoupled,0,0.07526755,-2.8444114,-6.453326
uncoupled,0,-1.0592113,-0.18557516,-0.5228243
uncoupled,0,-0.42994592,0.1572326,0.75646
uncoupled,0,-0.5077782,0.11594184,-0.39758036
uncoupled,0,-2.9991944,-0.4401778,-3.9596293
uncoupled,0,-13.36765,-14.334172,-8.115888
uncoupled,0,0.19972672,-1.0399072,-0.10651598
uncoupled,0,-1.5238633,-0.4822264,-1.3321959
uncoupled,0,-0.5077782,0.11594184,-0.39758036
uncoupled,0,0.13683784,-0.50368583,1.1032586
uncoupled,0,-0.5077782,0.11594184,-0.39758036
uncoupled,0,-0.5673261,-0.32508644,0.32914704
uncoupled,0,-0.77493554,0.5408142,1.5138499
uncoupled,0,0.33032846,-0.79795337,-0.38899654
uncoupled,0,-0.5077782,0.11594184,-0.39758036
uncoupled,0,-0.6724624,-0.54388964,-1.0583975
uncoupled,0,-0.5077782,0.11594184,-0.39758036
uncoupled,0,-1.4749191,-0.6785858,-1.7442374
uncoupled,0,0.36037225,-5.496906,-2.7334604
uncoupled,0,-0.28680438,-0.21395826,0.9540774
uncoupled,0,0.19715722,0.07896628,0.72284865
uncoupled,0,-0.72763795,-0.2533016,-0.28407195
uncoupled,0,-0.5077782,0.11594184,-0.39758036
uncoupled,0,0.38794702,-5.087487,-4.9716816
uncoupled,0,0.63707995,-1.7431542,-0.7313556
uncoupled,0,-0.5077782,0.11594184,-0.39758036
uncoupled,0,-0.5077782,0.11594184,-0.39758036
uncoupled,0,-0.5077782,0.11594184,-0.39758036
uncoupled,0,-1.015194,0.46443322,-0.85428715
uncoupled,0,0.50282156,0.35358754,-0.87200236
uncoupled,0,2.6941712,-1.2948228,1.0296729
uncoupled,0,1.5039316,-3.1655614,1.1973238
uncoupled,0,-0.5189282,-0.22148108,-0.5343145
uncoupled,0,-1.0153115,-7.2996364,-1.8169416
uncoupled,0,-0.23918137,0.43128952,-0.046683803
uncoupled,0,0.56875867,-6.818419,-7.073731
uncoupled,0,-0.5077782,0.11594184,-0.39758036
uncoupled,0,-0.5077782,0.11594184,-0.39758036
uncoupled,0,0.052049607,0.72220105,-0.15412964
uncoupled,0,-1.115477,-2.880334,-1.8213038
uncoupled,0,7.5195775,-9.456763,-4.3436837
uncoupled,0,-0.53230333,0.12800325,0.049688447
uncoupled,0,-1.5697811,-0.51612234,-1.3658496
uncoupled,0,-0.39400035,-0.9290818,-0.55000067
uncoupled,0,-0.41709295,0.3416997,0.656014
uncoupled,0,-0.4451701,0.8551868,-0.6931235
uncoupled,0,-0.3267311,-0.4399424,-0.4643053
uncoupled,0,-0.5385581,-2.3318162,-1.1301318
uncoupled,0,8.923386,-9.08092,1.2254653
uncoupled,0,-0.5077782,0.11594184,-0.39758036
uncoupled,0,0.51228905,-0.7166141,-1.3513705
uncoupled,0,0.5742038,-3.8979888,-5.349164
uncoupled,0,0.1922057,-1.2722579,-0.48134595
uncoupled,0,0.22450338,-0.2707236,1.3597425
uncoupled,0,-0.5077782,0.11594184,-0.39758036
uncoupled,0,-2.3669436,-8.638946,-10.333297
uncoupled,0,-0.563414,0.1550293,-0.52796584
uncoupled,0,1.4685749,-6.2135267,-3.9482403
uncoupled,0,0.70057064,-0.8044953,-0.72810894
uncoupled,0,0.2551552,1.2582339,-0.31748036
uncoupled,0,0.17940463,0.4379636,-0.6974373
uncoupled,0,-0.18504308,-0.016203135,-1.9730331
uncoupled,0,1.2021166,0.03953144,-0.29502574
uncoupled,0,0.10468887,0.10788402,0.21416265
uncoupled,0,-1.7353673,-0.7323288,-0.8099595
uncoupled,0,0.9033854,0.2327303,2.223986
uncoupled,0,-0.5941328,-0.5352545,-0.1855102
uncoupled,0,7.660881,-14.82661,-11.470563
uncoupled,0,-2.3950837,-9.064418,1.7774599
uncoupled,0,0.19992632,-0.11311659,-1.0894294
uncoupled,0,-1.2656026,-3.8837643,-4.3269567
uncoupled,0,-5.385653,-4.8092113,-3.3321602
uncoupled,0,-0.44072357,-0.6539689,-0.7915749
uncoupled,0,2.290067,-1.8804494,-0.71533924
uncoupled,0,-0.5077782,0.11594184,-0.39758036
uncoupled,0,1.3039495,-1.1583456,-1.040994
uncoupled,0,-4.724246,-3.1235738,-4.70714
uncoupled,0,-3.7727902,-6.03039,1.5775526
uncoupled,0,1.0073867,0.12394859,-0.019210419
uncoupled,1,1.4013965,-1.6022308,-0.72345746
uncoupled,1,0.26275858,-0.49260005,-0.076473705
uncoupled,1,-0.24724562,-1.0844362,-1.2320695
uncoupled,1,0.93957543,-0.44068316,1.0700163
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,1.5542088,0.8555481,-0.7188852
uncoupled,1,-0.17315501,-0.48077908,1.063692
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,-0.13102192,-0.47464058,0.36875635
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,-0.79180807,-3.555171,-2.1779225
uncoupled,1,0.6933757,0.058118217,-0.44913733
uncoupled,1,6.7869687,-0.958816,0.16424632
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,1.7300878,-0.00804648,-0.08824346
uncoupled,1,1.0196321,0.5007425,0.22598003
uncoupled,1,-7.7749743,-3.3809817,-10.127504
uncoupled,1,2.0261192,-0.64155686,0.34558135
uncoupled,1,-0.44317213,0.21752779,-0.31366357
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,-0.12990533,-0.4783835,0.28888312
uncoupled,1,-0.56379694,-0.67029655,-0.7557915
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,-0.299064,0.09920251,-0.4895384
uncoupled,1,-3.5972118,-0.70175105,-3.5201502
uncoupled,1,-0.0076852413,-0.12521361,0.23178884
uncoupled,1,0.27544013,-0.8405956,2.6323292
uncoupled,1,24.708488,-16.212307,51.106667
uncoupled,1,4.2495303,-7.1216097,1.3932847
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,-0.19073519,0.8661661,0.9244126
uncoupled,1,-0.28417766,0.8072596,0.42964202
uncoupled,1,0.7814109,-0.44537503,1.0168475
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,-1.5844272,-0.53845537,-1.4432356
uncoupled,1,0.10685692,-0.9379119,0.11861377
uncoupled,1,-0.64321905,0.12873203,0.12026054
uncoupled,1,0.93940467,0.006584825,0.059215453
uncoupled,1,1.4727509,0.16251388,0.29686144
uncoupled,1,-0.47604015,-0.27982154,0.30134943
uncoupled,1,5.120327,2.4555504,0.22977307
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,0.44567695,0.24424247,-0.6910462
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,-0.98173493,0.117799595,-0.81092566
uncoupled,1,-0.5692274,-0.27861676,-0.7923262
uncoupled,1,1.1868632,-0.7518121,0.7414354
uncoupled,1,3.612165,-1.5835167,-1.3051183
uncoupled,1,0.32439777,-1.1701257,-0.017751044
uncoupled,1,0.20048358,0.17474018,0.34844154
uncoupled,1,2.1285317,-0.9596365,0.8020084
uncoupled,1,-0.062543154,-0.9337906,0.39613286
uncoupled,1,0.24657205,-0.025654832,1.5348724
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,3.029226,-0.04501326,2.667278
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,0.6423509,0.23059934,-0.5545576
uncoupled,1,-1.4791063,-0.47602513,-0.92224365
uncoupled,1,20.77853,-28.282978,-20.887165
uncoupled,1,-0.1797417,0.19540164,0.27795246
uncoupled,1,4.9672513,-1.4032104,1.29007
uncoupled,1,17.18575,17.944273,-13.854506
uncoupled,1,-1.0932635,2.5115967,3.5717952
uncoupled,1,-0.59229994,0.585904,0.54072326
uncoupled,1,0.92122614,-0.14044859,-0.30076396
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,-1.2508328,-0.32124022,2.9378242
uncoupled,1,-0.40399864,-0.35999736,-0.2615602
uncoupled,1,3.4906275,1.7120441,5.531189
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,0.34812725,0.15358296,-0.15782467
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,0.66207176,-0.05730528,-0.8425267
uncoupled,1,5.487116,-7.550006,-5.452133
uncoupled,1,-1.7624848,0.62642425,-0.63914174
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,-2.2435465,-1.088192,1.8298594
uncoupled,1,-0.27963126,0.884834,-0.51132905
uncoupled,1,1.1944678,-0.6247943,0.8623072
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,1.1550299,-1.9005572,1.2425222
uncoupled,1,-0.028718352,0.054316923,-0.19935872
uncoupled,1,9.231147,5.6346245,1.1670312
uncoupled,1,0.106136024,0.12798588,-1.3551869
uncoupled,1,-0.47543874,-0.12601773,-0.55014175
uncoupled,1,1.103557,-0.46626163,0.04523469
uncoupled,1,-1.3028909,0.2155902,-1.0407499
uncoupled,1,1.1549082,-1.9004762,0.1380669
uncoupled,1,-0.44651574,1.0254653,-0.061116893
uncoupled,1,0.510546,0.0405691,-1.317727
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,1.6367618,1.2454506,-0.92471737
uncoupled,1,0.0085093025,-0.93989044,-0.83816665
uncoupled,1,8.871035,0.97620344,-2.2499454
uncoupled,1,0.66102356,-0.54575527,0.65060943
uncoupled,1,0.73438525,-1.5597286,0.8311201
uncoupled,2,-2.2185001,-0.06000561,0.122050785
uncoupled,2,-4.5273123,0.15275636,-2.0101552
uncoupled,2,-5.5544925,1.0628977,-3.4637535
uncoupled,2,0.5650104,1.7063422,-0.26398963
uncoupled,2,-5.286788,1.9770356,-0.8020483
